Département,Espérance de vie des hommes à la naissance (années) 2015,Espérance de vie des femmes à la naissance (années)  2015, Disparité de niveau de vie (Rapport interdécile) 2014,Taux de pauvreté (%) (1)  2014,Part des jeunes non insérés (%)  2014, Part de la population éloignée de plus de 7 mn des services de santé de proximité (%)  2016, Part de la population éloignée de plus de 7 mn des services de santé de proximité (%) 2013
Puy-de-Dôme,"79,1","85,1","3,20618213219645","12,5952459897696","18,5674695758243","9,3","6,8"
Pyrénées-Atlantiques,"79,8","85,6","3,22217718587145","12,0241165309298","20,3675757868184",8,"4,1"
Hautes-Pyrénées,"78,3","85,3","3,05906943212643","14,8144845405642","23,4933045515149",14,"10,2"
Pyrénées-Orientales,"78,1","84,6","3,46009407684221","21,4468340117099","35,0405111608521","3,4",40
Bas-Rhin,"79,3","84,8","3,38466055907916","12,4389889394742","19,3656883008432","2,6","11,9"
Haut-Rhin,"79,5","84,2","3,68893411345714","12,7280038658183","26,2947290792398","4,3","9,6"
Rhône,"80,3","85,9","3,68952997401633","13,7652727585614","17,9078437996317","1,8","25,1"
Haute-Saône,"78,2","84,5","2,83457190652405","14,4280910479734","27,2844919191641",22,"4,6"
Saône-et-Loire,"78,1","85,1","2,92325995178084","13,09319974372","25,984846448646","17,1","9,8"
Sarthe,"78,8","85,1","2,88495844783631","13,1595080185296","23,9343224018142",12,"3,8"
Savoie,80,"85,5","3,0574566207944","10,3974427201627","18,1734772851471","10,8","6,6"
Haute-Savoie,"80,7","85,9","4,07143715212429","9,43980362102844","18,2848398982925","6,7","9,4"
Paris,"81,2","86,4","6,55932795149533","16,107888948119","12,8714863060199",0,"10,8"
Seine-Maritime,"77,3","84,2","3,20433714423466","14,4467568861341","24,9746148793459","7,4","2,3"
Seine-et-Marne,"79,3","84,7","3,23507055752008","11,5006548797983","22,1279712823076","4,2","7,6"
Yvelines,"81,4","86,2","3,93840888505643","9,47877085742607","17,7916985575536","1,4","5,6"
Deux-Sèvres,"79,6","85,5","2,85365499200698","12,4617749438824","24,9480435053464",17,"4,7"
Somme,"77,1","83,4","3,23273540776897","16,994247297994","26,1104307794664","13,4","7,9"
Tarn,"79,8","86,1","3,16124055415617","15,3173383604757","26,2530481858522","13,3","8,6"
Tarn-et-Garonne,"79,3","85,5","3,15389247552761","17,0530864222069","29,4264690677286","11,7",16
Var,"79,6","85,4","3,52854676836612","15,8955006094176","28,3877403420277",3,"27,3"
Vaucluse,"78,3","84,7","3,57053467550205","20,4318495055251","30,9490705081799","2,4","42,3"
Vendée,"79,2","85,6","2,61575658102393","10,1037846673224","22,3007159023032","7,9","3,7"
Vienne,"80,1","85,7","3,07350042922606","13,6642395701852","19,1691445556219","12,9","4,3"
Haute-Vienne,"78,5","84,7","3,23447070401434","15,3185329548504","20,2231515624766","11,5","0,9"
Vosges,"77,9",84,"3,04004390377755","15,7817586684098","29,8154738943444",14,"6,1"
Yonne,"77,6","84,1","3,06000577989123","14,256599103968","30,2757855908138","19,2","9,4"
Territoire de Belfort,"78,7","82,8","3,3387460815047","15,1728061232029","25,23449074554","2,6","6,6"
Essonne,"80,7","85,8","3,62725860155383","12,5111224075628","20,7800271633329","0,9","7,3"
Hauts-de-Seine,"81,5","86,2","4,96647893745831","12,2408184396908","15,6017175014",0,"20,2"
Seine-Saint-Denis,"79,1","84,4","4,008038840665","28,5800125245241","28,7014593684438",0,"3,8"
Val-de-Marne,"80,8","85,5","4,22711595639247","16,2146384955248","19,7018934962689",0,"22,6"
Val-d'Oise,"79,8","84,9","3,75384241968697","16,5567821417359","22,8478030389341","0,6",3
Guadeloupe,77,"84,8",NA,NA,"39,7217790418682","5,9",NA
Martinique,"79,4","84,7","4,41278421278421","32,0534932319912","37,8051728382573","1,7","10,4"
Guyane,"76,4",82,NA,NA,"51,1066025204696",27,NA
La Réunion,"77,1","83,6","4,7534703294753","41,7843884754227","44,624102364104","0,2","17,1"
Mayotte,"75,3","77,2",NA,NA,NA,nd ,NA
